"Firms","Date","Analyst_Company","Opinions","Price"
"4580","Catalent Inc","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4581","Catalent Inc","01/25/23","Barclays Capital","Maintained Sell","$122"
"4582","Catalent Inc","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4583","Catalent Inc","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4584","Catalent Inc","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4585","Catalent Inc","10/26/22","Mizuho","Maintained Hold","$130"
"4586","Catalent Inc","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4587","Catalent Inc","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4588","Catalent Inc","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4589","Catalent Inc","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4590","Catalent Inc","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4591","Catalent Inc","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4592","Catalent Inc","10/03/22","Barclays Capital","Maintained Sell","$130"
"4593","Catalent Inc","09/09/22","UBS","Upgraded to Hold","$126"
"4594","Catalent Inc","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4595","Catalent Inc","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4596","Catalent Inc","07/27/22","Credit Suisse","Maintained Hold","$160"
"4597","Catalent Inc","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4598","Catalent Inc","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4599","Catalent Inc","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4600","Catalent Inc","07/27/22","Mizuho","Maintained Hold","$140"
"4601","Caterpillar Inc.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4602","Caterpillar Inc.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4603","Caterpillar Inc.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4604","Caterpillar Inc.","10/25/23","Barclays Capital","Maintained Sell","$98"
"4605","Caterpillar Inc.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4606","Caterpillar Inc.","09/15/23","HSBC","Maintained Sell","$109"
"4607","Caterpillar Inc.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4608","Caterpillar Inc.","08/29/23","Mizuho","Maintained Hold","$120"
"4609","Caterpillar Inc.","08/29/23","Wolfe Research","Upgraded to Hold",""
"4610","Caterpillar Inc.","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4611","Caterpillar Inc.","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4612","Caterpillar Inc.","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4613","Caterpillar Inc.","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4614","Caterpillar Inc.","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4615","Caterpillar Inc.","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4616","Caterpillar Inc.","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4617","Caterpillar Inc.","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4618","Caterpillar Inc.","07/10/23","Barclays Capital","Maintained Sell","$93"
"4619","Caterpillar Inc.","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4620","Caterpillar Inc.","06/01/23","UBS","Maintained Hold","$95"
"4621","Caterpillar Inc.","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4622","Caterpillar Inc.","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4623","Caterpillar Inc.","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4624","Caterpillar Inc.","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4625","Caterpillar Inc.","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4626","Caterpillar Inc.","04/06/23","Barclays Capital","Maintained Sell","$103"
"4627","Caterpillar Inc.","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4628","Caterpillar Inc.","03/22/23","Barclays Capital","Maintained Sell","$105"
"4629","Caterpillar Inc.","01/26/23","Mizuho","Maintained Hold","$120"
"4630","Caterpillar Inc.","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4631","Caterpillar Inc.","01/25/23","Barclays Capital","Maintained Sell","$122"
"4632","Caterpillar Inc.","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4633","Caterpillar Inc.","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4634","Caterpillar Inc.","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4635","Caterpillar Inc.","10/26/22","Mizuho","Maintained Hold","$130"
"4636","Caterpillar Inc.","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4637","Caterpillar Inc.","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4638","Caterpillar Inc.","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4639","Caterpillar Inc.","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4640","Caterpillar Inc.","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4641","Caterpillar Inc.","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4642","Caterpillar Inc.","10/03/22","Barclays Capital","Maintained Sell","$130"
"4643","Caterpillar Inc.","09/09/22","UBS","Upgraded to Hold","$126"
"4644","Caterpillar Inc.","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4645","Caterpillar Inc.","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4646","Caterpillar Inc.","07/27/22","Credit Suisse","Maintained Hold","$160"
"4647","Caterpillar Inc.","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4648","Caterpillar Inc.","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4649","Caterpillar Inc.","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4650","Caterpillar Inc.","07/27/22","Mizuho","Maintained Hold","$140"
"4651","CBOE Holdings Inc","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4652","CBOE Holdings Inc","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4653","CBOE Holdings Inc","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4654","CBOE Holdings Inc","10/25/23","Barclays Capital","Maintained Sell","$98"
"4655","CBOE Holdings Inc","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4656","CBOE Holdings Inc","09/15/23","HSBC","Maintained Sell","$109"
"4657","CBOE Holdings Inc","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4658","CBOE Holdings Inc","08/29/23","Mizuho","Maintained Hold","$120"
"4659","CBOE Holdings Inc","08/29/23","Wolfe Research","Upgraded to Hold",""
"4660","CBOE Holdings Inc","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4661","CBOE Holdings Inc","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4662","CBOE Holdings Inc","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4663","CBOE Holdings Inc","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4664","CBOE Holdings Inc","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4665","CBOE Holdings Inc","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4666","CBOE Holdings Inc","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4667","CBOE Holdings Inc","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4668","CBOE Holdings Inc","07/10/23","Barclays Capital","Maintained Sell","$93"
"4669","CBOE Holdings Inc","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4670","CBOE Holdings Inc","06/01/23","UBS","Maintained Hold","$95"
"4671","CBOE Holdings Inc","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4672","CBOE Holdings Inc","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4673","CBOE Holdings Inc","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4674","CBOE Holdings Inc","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4675","CBOE Holdings Inc","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4676","CBOE Holdings Inc","04/06/23","Barclays Capital","Maintained Sell","$103"
"4677","CBOE Holdings Inc","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4678","CBOE Holdings Inc","03/22/23","Barclays Capital","Maintained Sell","$105"
"4679","CBOE Holdings Inc","01/26/23","Mizuho","Maintained Hold","$120"
"4680","CBOE Holdings Inc","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4681","CBOE Holdings Inc","01/25/23","Barclays Capital","Maintained Sell","$122"
"4682","CBOE Holdings Inc","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4683","CBOE Holdings Inc","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4684","CBOE Holdings Inc","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4685","CBOE Holdings Inc","10/26/22","Mizuho","Maintained Hold","$130"
"4686","CBOE Holdings Inc","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4687","CBOE Holdings Inc","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4688","CBOE Holdings Inc","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4689","CBOE Holdings Inc","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4690","CBOE Holdings Inc","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4691","CBOE Holdings Inc","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4692","CBOE Holdings Inc","10/03/22","Barclays Capital","Maintained Sell","$130"
"4693","CBOE Holdings Inc","09/09/22","UBS","Upgraded to Hold","$126"
"4694","CBOE Holdings Inc","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4695","CBOE Holdings Inc","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4696","CBOE Holdings Inc","07/27/22","Credit Suisse","Maintained Hold","$160"
"4697","CBOE Holdings Inc","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4698","CBOE Holdings Inc","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4699","CBOE Holdings Inc","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4700","CBOE Holdings Inc","07/27/22","Mizuho","Maintained Hold","$140"
"4701","CBRE Group Inc. (A)","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4702","CBRE Group Inc. (A)","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4703","CBRE Group Inc. (A)","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4704","CBRE Group Inc. (A)","10/25/23","Barclays Capital","Maintained Sell","$98"
"4705","CBRE Group Inc. (A)","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4706","CBRE Group Inc. (A)","09/15/23","HSBC","Maintained Sell","$109"
"4707","CBRE Group Inc. (A)","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4708","CBRE Group Inc. (A)","08/29/23","Mizuho","Maintained Hold","$120"
"4709","CBRE Group Inc. (A)","08/29/23","Wolfe Research","Upgraded to Hold",""
"4710","CBRE Group Inc. (A)","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4711","CBRE Group Inc. (A)","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4712","CBRE Group Inc. (A)","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4713","CBRE Group Inc. (A)","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4714","CBRE Group Inc. (A)","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4715","CBRE Group Inc. (A)","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4716","CBRE Group Inc. (A)","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4717","CBRE Group Inc. (A)","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4718","CBRE Group Inc. (A)","07/10/23","Barclays Capital","Maintained Sell","$93"
"4719","CBRE Group Inc. (A)","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4720","CBRE Group Inc. (A)","06/01/23","UBS","Maintained Hold","$95"
"4721","CBRE Group Inc. (A)","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4722","CBRE Group Inc. (A)","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4723","CBRE Group Inc. (A)","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4724","CBRE Group Inc. (A)","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4725","CBRE Group Inc. (A)","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4726","CBRE Group Inc. (A)","04/06/23","Barclays Capital","Maintained Sell","$103"
"4727","CBRE Group Inc. (A)","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4728","CBRE Group Inc. (A)","03/22/23","Barclays Capital","Maintained Sell","$105"
"4729","CBRE Group Inc. (A)","01/26/23","Mizuho","Maintained Hold","$120"
"4730","CBRE Group Inc. (A)","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4731","CBRE Group Inc. (A)","01/25/23","Barclays Capital","Maintained Sell","$122"
"4732","CBRE Group Inc. (A)","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4733","CBRE Group Inc. (A)","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4734","CBRE Group Inc. (A)","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4735","CBRE Group Inc. (A)","10/26/22","Mizuho","Maintained Hold","$130"
"4736","CBRE Group Inc. (A)","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4737","CBRE Group Inc. (A)","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4738","CBRE Group Inc. (A)","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4739","CBRE Group Inc. (A)","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4740","CBRE Group Inc. (A)","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4741","CBRE Group Inc. (A)","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4742","CBRE Group Inc. (A)","10/03/22","Barclays Capital","Maintained Sell","$130"
"4743","CBRE Group Inc. (A)","09/09/22","UBS","Upgraded to Hold","$126"
"4744","CBRE Group Inc. (A)","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4745","CBRE Group Inc. (A)","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4746","CBRE Group Inc. (A)","07/27/22","Credit Suisse","Maintained Hold","$160"
"4747","CBRE Group Inc. (A)","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4748","CBRE Group Inc. (A)","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4749","CBRE Group Inc. (A)","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4750","CBRE Group Inc. (A)","07/27/22","Mizuho","Maintained Hold","$140"
"4751","CDW Corp (New)","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4752","CDW Corp (New)","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4753","CDW Corp (New)","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4754","CDW Corp (New)","10/25/23","Barclays Capital","Maintained Sell","$98"
"4755","CDW Corp (New)","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4756","CDW Corp (New)","09/15/23","HSBC","Maintained Sell","$109"
"4757","CDW Corp (New)","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4758","CDW Corp (New)","08/29/23","Mizuho","Maintained Hold","$120"
"4759","CDW Corp (New)","08/29/23","Wolfe Research","Upgraded to Hold",""
"4760","CDW Corp (New)","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4761","CDW Corp (New)","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4762","CDW Corp (New)","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4763","CDW Corp (New)","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4764","CDW Corp (New)","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4765","CDW Corp (New)","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4766","CDW Corp (New)","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4767","CDW Corp (New)","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4768","CDW Corp (New)","07/10/23","Barclays Capital","Maintained Sell","$93"
"4769","CDW Corp (New)","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4770","CDW Corp (New)","06/01/23","UBS","Maintained Hold","$95"
"4771","CDW Corp (New)","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4772","CDW Corp (New)","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4773","CDW Corp (New)","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4774","CDW Corp (New)","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4775","CDW Corp (New)","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4776","CDW Corp (New)","04/06/23","Barclays Capital","Maintained Sell","$103"
"4777","CDW Corp (New)","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4778","CDW Corp (New)","03/22/23","Barclays Capital","Maintained Sell","$105"
"4779","CDW Corp (New)","01/26/23","Mizuho","Maintained Hold","$120"
"4780","CDW Corp (New)","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4781","CDW Corp (New)","01/25/23","Barclays Capital","Maintained Sell","$122"
"4782","CDW Corp (New)","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4783","CDW Corp (New)","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4784","CDW Corp (New)","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4785","CDW Corp (New)","10/26/22","Mizuho","Maintained Hold","$130"
"4786","CDW Corp (New)","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4787","CDW Corp (New)","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4788","CDW Corp (New)","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4789","CDW Corp (New)","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4790","CDW Corp (New)","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4791","CDW Corp (New)","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4792","CDW Corp (New)","10/03/22","Barclays Capital","Maintained Sell","$130"
"4793","CDW Corp (New)","09/09/22","UBS","Upgraded to Hold","$126"
"4794","CDW Corp (New)","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4795","CDW Corp (New)","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4796","CDW Corp (New)","07/27/22","Credit Suisse","Maintained Hold","$160"
"4797","CDW Corp (New)","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4798","CDW Corp (New)","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4799","CDW Corp (New)","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4800","CDW Corp (New)","07/27/22","Mizuho","Maintained Hold","$140"
"4801","Celanese Corp.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4802","Celanese Corp.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4803","Celanese Corp.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4804","Celanese Corp.","10/25/23","Barclays Capital","Maintained Sell","$98"
"4805","Celanese Corp.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4806","Celanese Corp.","09/15/23","HSBC","Maintained Sell","$109"
"4807","Celanese Corp.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4808","Celanese Corp.","08/29/23","Mizuho","Maintained Hold","$120"
"4809","Celanese Corp.","08/29/23","Wolfe Research","Upgraded to Hold",""
"4810","Celanese Corp.","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4811","Celanese Corp.","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4812","Celanese Corp.","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4813","Celanese Corp.","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4814","Celanese Corp.","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4815","Celanese Corp.","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4816","Celanese Corp.","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4817","Celanese Corp.","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4818","Celanese Corp.","07/10/23","Barclays Capital","Maintained Sell","$93"
"4819","Celanese Corp.","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4820","Celanese Corp.","06/01/23","UBS","Maintained Hold","$95"
"4821","Celanese Corp.","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4822","Celanese Corp.","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4823","Celanese Corp.","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4824","Celanese Corp.","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4825","Celanese Corp.","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4826","Celanese Corp.","04/06/23","Barclays Capital","Maintained Sell","$103"
"4827","Celanese Corp.","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4828","Celanese Corp.","03/22/23","Barclays Capital","Maintained Sell","$105"
"4829","Celanese Corp.","01/26/23","Mizuho","Maintained Hold","$120"
"4830","Celanese Corp.","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4831","Celanese Corp.","01/25/23","Barclays Capital","Maintained Sell","$122"
"4832","Celanese Corp.","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4833","Celanese Corp.","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4834","Celanese Corp.","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4835","Celanese Corp.","10/26/22","Mizuho","Maintained Hold","$130"
"4836","Celanese Corp.","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4837","Celanese Corp.","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4838","Celanese Corp.","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4839","Celanese Corp.","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4840","Celanese Corp.","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4841","Celanese Corp.","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4842","Celanese Corp.","10/03/22","Barclays Capital","Maintained Sell","$130"
"4843","Celanese Corp.","09/09/22","UBS","Upgraded to Hold","$126"
"4844","Celanese Corp.","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4845","Celanese Corp.","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4846","Celanese Corp.","07/27/22","Credit Suisse","Maintained Hold","$160"
"4847","Celanese Corp.","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4848","Celanese Corp.","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4849","Celanese Corp.","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4850","Celanese Corp.","07/27/22","Mizuho","Maintained Hold","$140"
"4851","Centene Corp.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4852","Centene Corp.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4853","Centene Corp.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4854","Centene Corp.","10/25/23","Barclays Capital","Maintained Sell","$98"
"4855","Centene Corp.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4856","Centene Corp.","09/15/23","HSBC","Maintained Sell","$109"
"4857","Centene Corp.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4858","Centene Corp.","08/29/23","Mizuho","Maintained Hold","$120"
"4859","Centene Corp.","08/29/23","Wolfe Research","Upgraded to Hold",""
"4860","Centene Corp.","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4861","Centene Corp.","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4862","Centene Corp.","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4863","Centene Corp.","07/14/23","Morgan Stanley","Maintained Sell","$100"
"4864","Centene Corp.","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"4865","Centene Corp.","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"4866","Centene Corp.","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"4867","Centene Corp.","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"4868","Centene Corp.","07/10/23","Barclays Capital","Maintained Sell","$93"
"4869","Centene Corp.","06/27/23","Morgan Stanley","Maintained Sell","$100"
"4870","Centene Corp.","06/01/23","UBS","Maintained Hold","$95"
"4871","Centene Corp.","05/22/23","RBC Capital Markets","Maintained Sell","$95"
"4872","Centene Corp.","04/26/23","RBC Capital Markets","Maintained Sell","$95"
"4873","Centene Corp.","04/26/23","Morgan Stanley","Maintained Sell","$102"
"4874","Centene Corp.","04/19/23","Morgan Stanley","Maintained Sell","$103"
"4875","Centene Corp.","04/13/23","Wells Fargo & Co","Maintained Hold","$110"
"4876","Centene Corp.","04/06/23","Barclays Capital","Maintained Sell","$103"
"4877","Centene Corp.","03/30/23","RBC Capital Markets","Maintained Hold","$148"
"4878","Centene Corp.","03/22/23","Barclays Capital","Maintained Sell","$105"
"4879","Centene Corp.","01/26/23","Mizuho","Maintained Hold","$120"
"4880","Centene Corp.","01/25/23","Wells Fargo & Co","Maintained Hold","$115"
"4881","Centene Corp.","01/25/23","Barclays Capital","Maintained Sell","$122"
"4882","Centene Corp.","01/19/23","Wells Fargo & Co","Maintained Hold","$125"
"4883","Centene Corp.","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"4884","Centene Corp.","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"4885","Centene Corp.","10/26/22","Mizuho","Maintained Hold","$130"
"4886","Centene Corp.","10/26/22","Morgan Stanley","Maintained Sell","$110"
"4887","Centene Corp.","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"4888","Centene Corp.","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"4889","Centene Corp.","10/13/22","Deutsche Bank","Maintained Hold","$126"
"4890","Centene Corp.","10/12/22","Morgan Stanley","Maintained Sell","$108"
"4891","Centene Corp.","10/11/22","Goldman Sachs","Maintained Hold","$129"
"4892","Centene Corp.","10/03/22","Barclays Capital","Maintained Sell","$130"
"4893","Centene Corp.","09/09/22","UBS","Upgraded to Hold","$126"
"4894","Centene Corp.","09/09/22","Deutsche Bank","Maintained Hold","$127"
"4895","Centene Corp.","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"4896","Centene Corp.","07/27/22","Credit Suisse","Maintained Hold","$160"
"4897","Centene Corp.","07/27/22","Deutsche Bank","Maintained Hold","$148"
"4898","Centene Corp.","07/27/22","Morgan Stanley","Maintained Sell","$131"
"4899","Centene Corp.","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"4900","Centene Corp.","07/27/22","Mizuho","Maintained Hold","$140"
"4901","CenterPoint Energy Inc.","10/25/23","J.P. Morgan","Maintained Hold","$105"
"4902","CenterPoint Energy Inc.","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"4903","CenterPoint Energy Inc.","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"4904","CenterPoint Energy Inc.","10/25/23","Barclays Capital","Maintained Sell","$98"
"4905","CenterPoint Energy Inc.","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"4906","CenterPoint Energy Inc.","09/15/23","HSBC","Maintained Sell","$109"
"4907","CenterPoint Energy Inc.","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"4908","CenterPoint Energy Inc.","08/29/23","Mizuho","Maintained Hold","$120"
"4909","CenterPoint Energy Inc.","08/29/23","Wolfe Research","Upgraded to Hold",""
"4910","CenterPoint Energy Inc.","07/26/23","Morgan Stanley","Maintained Sell","$102"
"4911","CenterPoint Energy Inc.","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"4912","CenterPoint Energy Inc.","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"4913","CenterPoint Energy Inc.","07/14/23","Morgan Stanley","Maintained Sell","$100"
