"Firms","Date","Analyst_Company","Opinions","Price"
"83","A.O. Smith Corp.","01/05/23","Wells Fargo & Co","Maintained Hold","$123"
"84","A.O. Smith Corp.","12/09/22","Citigroup Corp.","Maintained Hold","$126"
"85","A.O. Smith Corp.","10/26/22","Mizuho","Maintained Hold","$130"
"86","A.O. Smith Corp.","10/26/22","Morgan Stanley","Maintained Sell","$110"
"87","A.O. Smith Corp.","10/26/22","RBC Capital Markets","Maintained Sell","$113"
"88","A.O. Smith Corp.","10/26/22","Wells Fargo & Co","Maintained Hold","$122"
"89","A.O. Smith Corp.","10/13/22","Deutsche Bank","Maintained Hold","$126"
"90","A.O. Smith Corp.","10/12/22","Morgan Stanley","Maintained Sell","$108"
"91","A.O. Smith Corp.","10/11/22","Goldman Sachs","Maintained Hold","$129"
"92","A.O. Smith Corp.","10/03/22","Barclays Capital","Maintained Sell","$130"
"93","A.O. Smith Corp.","09/09/22","UBS","Upgraded to Hold","$126"
"94","A.O. Smith Corp.","09/09/22","Deutsche Bank","Maintained Hold","$127"
"95","A.O. Smith Corp.","09/08/22","Wells Fargo & Co","Maintained Hold","$125"
"96","A.O. Smith Corp.","07/27/22","Credit Suisse","Maintained Hold","$160"
"97","A.O. Smith Corp.","07/27/22","Deutsche Bank","Maintained Hold","$148"
"98","A.O. Smith Corp.","07/27/22","Morgan Stanley","Maintained Sell","$131"
"99","A.O. Smith Corp.","07/27/22","Wells Fargo & Co","Maintained Hold","$144"
"100","A.O. Smith Corp.","07/27/22","Mizuho","Maintained Hold","$140"
"101","Abbott Laboratories","10/25/23","J.P. Morgan","Maintained Hold","$105"
"102","Abbott Laboratories","10/25/23","RBC Capital Markets","Maintained Sell","$83"
"103","Abbott Laboratories","10/25/23","Citigroup Corp.","Maintained Hold","$97"
"104","Abbott Laboratories","10/25/23","Barclays Capital","Maintained Sell","$98"
"105","Abbott Laboratories","10/09/23","Citigroup Corp.","Maintained Hold","$95"
"106","Abbott Laboratories","09/15/23","HSBC","Maintained Sell","$109"
"107","Abbott Laboratories","08/31/23","Morgan Stanley","Upgraded to Hold","$113"
"108","Abbott Laboratories","08/29/23","Mizuho","Maintained Hold","$120"
"109","Abbott Laboratories","08/29/23","Wolfe Research","Upgraded to Hold",""
"110","Abbott Laboratories","07/26/23","Morgan Stanley","Maintained Sell","$102"
"111","Abbott Laboratories","07/26/23","Citigroup Corp.","Maintained Hold","$111"
"112","Abbott Laboratories","07/26/23","RBC Capital Markets","Maintained Sell","$100"
"113","Abbott Laboratories","07/14/23","Morgan Stanley","Maintained Sell","$100"
"114","Abbott Laboratories","07/11/23","D.A. Davidson & Co.","Maintained Buy","$159"
"115","Abbott Laboratories","07/11/23","Citigroup Corp.","Maintained Hold","$100"
"116","Abbott Laboratories","07/11/23","Bank of America Merrill Lynch","Maintained Hold","$110"
"117","Abbott Laboratories","07/10/23","Wells Fargo & Co","Maintained Hold","$100"
"118","Abbott Laboratories","07/10/23","Barclays Capital","Maintained Sell","$93"
"119","Abbott Laboratories","06/27/23","Morgan Stanley","Maintained Sell","$100"
"120","Abbott Laboratories","06/01/23","UBS","Maintained Hold","$95"
